"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Asserts the left sidebar menu contains: Admin, PIM, Leave, Time, Recruitment, My Info, Performance, Dashboard, Directory.","1568","TC11: Verify sidebar menu UI","OrangeHRM Automation Suite","2026-08-22","passed","2026-08-22","tests.UiTests","AdminAndUiTests","tests.UiTests","testSidebarMenuItems"
"Enters only the Last Name and clicks Save, asserting the 'Required' validation error appears under First Name.","5498","TC7: Add employee with empty required First Name field","OrangeHRM Automation Suite","2026-08-22","passed","2026-08-22","tests.PimTests","PimTests","tests.PimTests","testAddEmployeeWithEmptyFirstName"
"Scrolls to the footer, asserts it contains 'OrangeHRM, Inc', clicks the branding link, and asserts the new tab URL contains orangehrm.com.","10426","TC10: Verify the OrangeHRM footer/branding link","OrangeHRM Automation Suite","2026-08-22","passed","2026-08-22","tests.UiTests","AdminAndUiTests","tests.UiTests","testFooterBrandingLink"
"Navigates to PIM > Employee List, searches by a known employee name, and asserts the results table contains that name.","3307","TC4: Search for an existing employee in PIM","OrangeHRM Automation Suite","2026-08-22","failed","2026-08-22","tests.PimTests","PimTests","tests.PimTests","testSearchExistingEmployee"
"Clicks Login without entering any credentials and asserts that 'Required' validation messages appear under both fields.","674","TC3: Login with empty fields shows Required validation","OrangeHRM Automation Suite","2026-08-22","passed","2026-08-22","tests.LoginTests","LoginTests","tests.LoginTests","testLoginWithEmptyFields"
"Adds a new employee via PIM > Add Employee, confirms the Personal Details page opens, then searches the Employee List and asserts the employee appears.","13623","TC8: End-to-end - add a new employee successfully","OrangeHRM Automation Suite","2026-08-22","passed","2026-08-22","tests.PimTests","PimTests","tests.PimTests","testAddNewEmployeeEndToEnd"
"Navigates to PIM > Employee List, searches by a known employee name, and asserts the results table contains that name.","2994","TC4: Search for an existing employee in PIM","OrangeHRM Automation Suite","2026-08-22","broken","2026-08-22","tests.PimTests","PimTests","tests.PimTests","testSearchExistingEmployee"
"Submits an invalid username/password combination and asserts the 'Invalid credentials' alert is displayed.","2290","TC2: Login with invalid credentials","OrangeHRM Automation Suite","2026-08-22","passed","2026-08-22","tests.LoginTests","LoginTests","tests.LoginTests","testLoginWithInvalidCredentials"
"Submits an invalid username/password combination and asserts the 'Invalid credentials' alert is displayed.","2046","TC2: Login with invalid credentials","OrangeHRM Automation Suite","2026-08-22","passed","2026-08-22","tests.LoginTests","LoginTests","tests.LoginTests","testLoginWithInvalidCredentials"
"Navigates to Admin, clicks Add, and asserts the Add User form contains the User Role, Employee Name, Username, and Password fields.","4276","TC9: Verify Admin > Add User page fields","OrangeHRM Automation Suite","2026-08-22","passed","2026-08-22","tests.AdminTests","AdminAndUiTests","tests.AdminTests","testAddUserPageFields"
"Clicks Add Employee from the PIM menu and asserts the URL contains /pim/addEmployee with the First Name and Last Name fields visible.","3743","TC6: Open Add Employee page","OrangeHRM Automation Suite","2026-08-22","passed","2026-08-22","tests.PimTests","PimTests","tests.PimTests","testOpenAddEmployeePage"
"Searches the Employee List for a name that should not exist and asserts the 'No Records Found' message is displayed.","3542","TC5: Search for a non-existing employee in PIM","OrangeHRM Automation Suite","2026-08-22","passed","2026-08-22","tests.PimTests","PimTests","tests.PimTests","testSearchNonExistingEmployee"
"Enters valid username/password, submits the login form, and asserts the user lands on /dashboard/index with the Dashboard header visible.","2316","TC1: Login with valid credentials","OrangeHRM Automation Suite","2026-08-22","passed","2026-08-22","tests.LoginTests","LoginTests","tests.LoginTests","testLoginWithValidCredentials"
